N;seed;SUB_harmonic_LB;SUB_harmonic_UB;SUB_harmonic_arbitrary_LB;SUB_harmonic_arbitrary_UB;SUB_harmonic_aggregation_LB;SUB_harmonic_aggregation_UB;SUB_formula_LB;SUB_formula_UB;SUB_formula_arbitrary_LB;SUB_formula_arbitrary_UB;SUB_formula_aggregation_LB;SUB_formula_aggregation_UB;SUB_random_LB;SUB_random_UB;SUB_random_arbitrary_LB;SUB_random_arbitrary_UB;SUB_random_aggregation_LB;SUB_random_aggregation_UB;SA_LB;SA_UB;greedy
30;1;1220.18;2326;0;4442;-925.881;4365;1623.33;1627;1195;1763;-1640.56;4365;1588.11;1639;1100.78;1761;-1231.01;4365;1566.8;1631;3987
30;3;868.502;1483;0;4494;-500.238;4000;997.208;1006;752.733;1061;-839.933;4000;983.664;1006;729.584;1061;-552.511;4000;926.732;1010;3273
30;5;954.304;1744;0;6417;-323.756;5743;1145.1;1166;837.499;1290;-1692.45;5743;1122.57;1180;795.155;1297;-691.43;4841;1065.53;1202;5381
30;7;900.925;1813;0;3489;-568.996;4499;1253.32;1287;874.75;1434;-1552.38;3868;1210.28;1293;825.255;1432;-775.513;3868;1151.6;1291;2615
30;9;746.911;1737;0;4200;-445.085;4331;1049.32;1077;757.762;1179;-1487.44;4176;1009.32;1081;716.661;1177;-608.28;4176;979.658;1086;3676
30;11;739.185;1262;0;3354;-485.926;4601;963.656;1005;677.55;1291;-1521.29;4601;939.183;1004;509.394;1291;-565.688;4480;892.557;1019;3700
30;13;1431.45;2651;0;5473;-689.453;6682;1906.84;1928;1328.47;2061;-2256.39;6682;1857.28;1950;1253.35;2061;-1024.05;6328;1771.04;1947;5242
30;15;1020.02;1944;0;3719;-875.423;4577;1419.03;1448;1069.5;1624;-1645.4;3854;1387.51;1448;930.136;1624;-1407.96;3854;1303.19;1443;3419
30;17;1312.81;3390;0;4984;-911.443;5715;2083.32;2084;1425.83;2212;-2434.24;5715;2060.62;2100;1397.76;2209;-1761.42;5715;1972.11;2126;4437
30;19;1255.63;3193;0;6114;-449.998;6046;2031.99;2044;1410.67;2327;-1434.1;4576;2009.25;2044;1330.37;2287;-1242.09;4576;1946.19;2088;4450
30;21;1488.94;4168;0;5334;-792.067;6137;2399.27;2412;1775.01;2550;-2096.84;6137;2377.71;2412;1660.76;2550;-1454.32;6137;2336.69;2412;6254
30;23;1025.23;2011;0;3541;-583.481;5541;1314.51;1351;885.999;1439;-1901.79;5541;1292.95;1351;829.618;1430;-854.411;4863;1257.91;1334;5229
30;25;1350.44;3382;0;5346;-663.582;5008;1863.35;1922;1326.28;2020;-1421.46;5008;1833.1;1922;1287.46;1947;-966.131;5008;1793.99;1917;4400
30;27;1296.33;2543;0;3630;-721.468;7349;1850.98;1857;1287;1964;-2135.24;7349;1820.15;1857;1226.46;1942;-1242.45;7349;1734.73;1859;4673
30;29;1170.9;2983;0;4937;-618.199;6609;2040.93;2096;1332.74;2319;-2145.79;6609;1957.6;2120;1169.14;2297;-905.345;6609;1881.82;2142;6374
30;31;956.917;1714;0;4496;-664.932;5650;1192.32;1197;890.38;1306;-1795.04;5650;1187.11;1197;839.178;1320;-922.151;5650;1112.77;1197;3490
30;33;1537.14;3448;0;6260;-566.513;5871;2254.49;2276;1656.5;2367;-1682.98;5871;2225.66;2275;1575.55;2358;-923.21;5871;2175.06;2278;4682
30;35;1022.7;1948;0;3910;-590.828;5183;1308;1331;922.998;1410;-1405.1;5183;1257.19;1351;805.993;1410;-835.264;5183;1102.09;1331;5087
30;37;1200.17;1991;0;4167;-505.498;3675;1528.92;1543;1063.73;1609;-1293.6;3675;1522.17;1545;1009.3;1609;-683.17;3675;1406.11;1546;4925
